Kanji,Kana,Romaji,Ý nghĩa
分かります,わかります,wakarimasu,"Hiểu, biết"
問題,もんだい,mondai,"Vấn đề, câu hỏi"
答え,こたえ,kotae,"Câu trả lời, đáp án"
あります,あります,arimasu,"Có, sở hữu"
チケット,チケット,chiketto,"Vé (xem phim, nhà hát....)"
子供,こども,kodomo,"Đứa bé, trẻ con"
野球,やきゅう,yakyuu,Bóng chày
トマト,トマト,tomato,Cà chua
嫌い,きらい,kirai,"Không thích, ghét"
カラオケ,カラオケ,karaoke,Karaoke
お酒,おさけ,osake,Rượu Nhật
辛い,からい,karai,Cay
約束,やくそく,yakusoku,"Lời hứa, có hẹn"
スポーツ,スポーツ,supootsu,"Thể thao, thể dục"
ピアノ,ピアノ,piano,Đàn piano
ダンス,ダンス,dansu,"Nhảy, khiêu vũ"
歌,うた,uta,Bài hát
食べ物,たべもの,tabemono,"Đồ ăn, thực phẩm"
甘い,あまい,amai,Ngọt ngào
天気,てんき,tenki,Thời tiết
散歩します,さんぽします,sanposhimasu,"Đi dạo, đi bộ"
用事,ようじ,youji,"Công việc riêng, việc bận"
机,つくえ,tsukue,Cái bàn
コンサート,コンサート,konsaato,Buổi hòa nhạc
残念,ざんねん,zannen,"Tiếc nuối, đáng tiếc"
ローマ字,ローマじ,roomaji,Chữ Latinh
だいたい,だいたい,daitai,"Đại khái, đại thể"
どうして,どうして,doushite,"Vì sao, tại sao"
沢山,たくさん,takusan,Nhiều
豚肉,ぶたにく,butaniku,"Thịt heo, thịt lợn"
妻,つま,tsuma,Vợ (của mình)
夫,おっと,otto,Chồng
ご主人,ごしゅじん,goshujin,"Chồng chị/em (dùng khi nói
về chồng của người khác)."
奥さん,おくさん,okusan,Vợ (của người khác)
