Kanji,Kana,Romaji,Ý nghĩa
留学生,りゅうがくせい,ryuugakusei,Du học sinh
背,せ,se,Lưng
セーター,セーター,seetaa,Áo len
ニンジン,ニンジン,ninjin,"Cà rốt, củ cà rốt"
オレンジ,オレンジ,orenji,Quả cam
ロボット,ロボット,robotto,Rô bốt
経験,けいけん,keiken,Kinh nghiệm
アルバイト,アルバイト,arubaito,Làm thêm
帽子,ぼうし,boushi,"Cái mũ, mũ đội"
サービス,サービス,saabisu,"Sự phục vụ, dịch vụ"
アパート,アパート,apaato,Nhà chung cư
家賃,やちん,yachin,Tiền thuê nhà
ヨーロッパ,ヨーロッパ,yooroppa,Châu Âu
ミルク,ミルク,miruku,Sữa
太い,ふとい,futoi,"Béo, mập"
被る,かぶる,kaburu,Đội
娘,むすめ,musume,Con gái (của mình)
履く,はく,haku,"Mặc (quần), xỏ (giày)"
チャンス,チャンス,chansu,"Cơ hội, thời cơ"
掛ける,かける,kakeru,Đeo (kính)
眼鏡,めがね,megane,Kính đeo mắt
着る,きる,kiru,Mặc (áo)
そんなに,そんなに,sonnani,"Đến như thế, đến thế"
明るい,あかるい,akarui,"Tươi sáng, xinh tươi"
後で,あとで,atode,Sau đó
入れる,いれる,ireru,"Pha (trà, cà phê)"
サンダル,サンダル,sandaru,Dép quai hậu
布団,ふとん,futon,"Chăn, đệm"
メモ,メモ,memo,Ghi chú lại
トレーニング,トレーニング,toreeningu,"Sự luyện tập, huấn luyện"
アイロン,アイロン,airon,Bàn là
