Kanji,Kana,Romaji,Ý nghĩa
将来,しょうらい,shourai,Tương lai
環境,かんきょう,kankyou,"Môi trường, hoàn cảnh"
交通,こうつう,koutsuu,Giao thông
混雑,こんざつ,konzatsu,"Sự hỗn tạp, đông đúc"
厳しい,きびしい,kibishii,"Hà khắc, nghiêm khắc"
スピーチ,スピーチ,supiichi,Bài diễn thuyết
素晴らしい,すばらしい,subarashii,Tuyệt vời
温泉,おんせん,onsen,Suối nước nóng
出張する,しゅっちょうする,shucchousuru,Đi công tác
オリンピック,オリンピック,orinpikku,Thế vận hội Olympic
向日葵,ひまわり,himawari,Hoa hướng dương
津波,つなみ,tsunami,Sóng thần
意見,いけん,iken,"Ý kiến, quan điểm"
成人式,せいじんしき,seijinshiki,Lễ thành nhân
結婚式,けっこんしき,kekkonshiki,Lễ kết hôn
海岸,かいがん,kaigan,Bờ biển
出発する,しゅっぱつする,shuppatsusuru,"Xuất phát, khởi hành"
コンテスト,コンテスト,kontesuto,Cuộc thi
物価,ぶっか,bukka,"Giá cả, mức giá"
課長,かちょう,kachou,Giám đốc (công ty)
試合,しあい,shiai,Trận đấu
勝つ,かつ,katsu,"Thắng, thắng cuộc"
無駄,むだ,muda,"Vô ích, lãng phí"
同じ,おなじ,onaji,"Giống, giống nhau"
ゴルフ,ゴルフ,gorufu,Môn đánh golf
グループ,グループ,guruupu,Nhóm
被る,かぶる,kaburu,Đội
調べる,しらべる,shiraberu,"Tìm hiểu, điều tra"
しかし,しかし,shikashi,Tuy nhiên
海岸,かいがん,kaigan,Bờ biển
故障,こしょう,koshou,Sự hư hỏng
大統領,だいとうりょう,daitouryou,Tổng thống
足りる,たりる,tariru,Đủ
言う,いう,iu,Nói
凄く,すごく,sugoku,"Rất, dữ dội, cực kỳ"
本当に,ほんとうに,hontouni,"Thật ra, thật sự"
最近,さいきん,saikin,"Gần đây, dạo này"
放送,ほうそう,housou,"Sự phát thanh, sự lan truyền"
