Kanji,Kana,Romaji,Ý nghĩa
使います,つかいます,tsukaimasu,Sử dụng
座ります,すわります,suwarimasu,Ngồi
遅れます,おくれます,okuremasu,"Chậm, muộn"
撮ります,とります,torimasu,Chụp (ảnh)
危ない,あぶない,abunai,"Nguy hiểm, nguy cấp"
ゴミ,ゴミ,gomi,Rác
深い,ふかい,fukai,Sâu
運転します,うんてんします,untenshimasu,Lái xe
立ちます,たちます,tachimasu,Đứng
置きます,おきます,okimasu,"Đặt, để"
住みます,すみます,sumimasu,"Sống, sinh sống"
売ります,うります,urimasu,Bán
言語,げんご,gengo,"Ngôn ngữ, tiếng"
ストア,ストア,sutoa,"Cửa hàng, cửa hiệu"
お金持ち,おかねもち,okanemochi,"Đại gia, người rất giàu có"
センター,センター,sentaa,Trung tâm
首相,しゅしょう,shushou,Thủ tướng
ニュース,ニュース,nyuusu,"Tin tức, bản tin"
カタログ,カタログ,katarogu,Cuốn catalo
作り方,つくりかた,tsukurikata,"Cách làm, cách chế tạo"
生まれます,うまれます,umaremasu,Được sinh ra
所,ところ,tokoro,"Chỗ, địa điểm"
服,ふく,fuku,"Quần áo, trang phục"
色々,いろいろ,iroiro,"Đủ loại, đủ thứ"
独身,どくしん,dokushin,Sự độc thân
住所,じゅうしょ,juusho,Địa chỉ
製品,せいひん,seihin,Sản phẩm
出張,しゅっちょう,shucchou,Sự đi công tác
耳,みみ,mimi,Cái tai
研究します,けんきゅうします,kenkyuushimasu,Nghiên cứu
作ります,つくります,tsukurimasu,"Làm, tạo ra"
看護師,かんごし,kangoshi,"Y tá, hộ lý"
浅い,あさい,asai,"Nông, cạn, không sâu"
運転手,うんてんしゅ,untenshu,Người lái xe
