Kanji,Kana,Romaji,Ý nghĩa
マフラー,マフラー,mafuraa,Khăn quàng cổ
息子さん,むすこさん,musukosan,Con trai (của người khác)
連れて来る,つれてくる,tsuretekuru,"Dẫn đến, dẫn ai đó đến"
連れて行く,つれていく,tsureteiku,"Dẫn theo, mang theo"
苦しい,くるしい,kurushii,Đau khổ
紹介する,しょうかいする,shoukaisuru,Giới thiệu
説明する,せつめいする,setsumeisuru,"Thuyết minh, giải thích"
褒める,ほめる,homeru,Khen ngợi
生徒,せいと,seito,"Học sinh, học trò"
意味,いみ,imi,"Ý nghĩa, nghĩa"
引っ越し,ひっこし,hikkoshi,Chuyển nhà
案内,あんない,annai,"Lời hướng dẫn, sự hướng dẫn"
給料,きゅうりょう,kyuuryou,"Tiền lương, lương"
人形,にんぎょう,ningyou,"Búp bê, con rối"
オムライス,オムライス,omuraisu,Món cơm cuộn trứng
どら焼き,どらやき,dorayaki,Bánh Dorayaki
大使館,たいしかん,taishikan,Đại sứ quán
準備する,じゅんびする,junbisuru,Chuẩn bị
引く,ひく,hiku,"Kéo, rút"
不便,ふべん,fuben,Bất tiện
スーツ,スーツ,suutsu,Đồ vest.
お祖母さん,おばあさん,obaasan,"Bà nội, bà ngoại"
お祖父さん,おじいさん,ojiisan,"Ông nội, ông ngoại"
