Kanji,Kana,Romaji,Ý nghĩa
中国,ちゅうごく,chuugoku,Trung Quốc
アメリカ,アメリカ,amerika,Mỹ
イギリス,イギリス,igirisu,Anh
韓国,かんこく,kankoku,Hàn Quốc
タイ,タイ,tai,Thái Lan
ドイツ,ドイツ,doitsu,Đức
フランス,フランス,furansu,Pháp
ベトナム,ベトナム,betonamu,Việt Nam
日本,にほん,nihon,Nhật Bản
カナダ,カナダ,kanada,Canada
インド,インド,indo,Ấn Độ
イタリア,イタリア,itaria,Ý
インドネシア,インドネシア,indoneshia,Indonesia
私,わたし,watashi,"Tôi, mình, tớ"
私たち,わたしたち,watashitachi,"Chúng tôi, chúng ta"
貴方,あなた,anata,"Bạn, anh, chị"
学生,がくせい,gakusei,"Học sinh, sinh viên"
エンジニア,エンジニア,enjinia,Kỹ sư
銀行員,ぎんこういん,ginkouin,Nhân viên ngân hàng
研究者,けんきゅうしゃ,kenkyuusha,Nhà nghiên cứu
大学,だいがく,daigaku,Trường đại học
先生,せんせい,sensei,"Thầy giáo, cô giáo"
会社員,かいしゃいん,kaishain,Nhân viên công ty
病院,びょういん,byouin,Bệnh viện
医者,いしゃ,isha,Bác sĩ
宜しく,よろしく,yoroshiku,Xin hãy giúp đỡ
教師,きょうし,kyoushi,Giáo viên
鍵,かぎ,kagi,Chìa khóa
傘,かさ,kasa,Cái ô
本,ほん,hon,Sách
さん,さん,san,"Ông, bà, anh, chị 
(Dùng sau tên người để thể hiện lịch sự)"
ちゃん,ちゃん,chan,Bé...(Dùng sau tên bé gái)
君,くん,kun,Dùng sau tên bé trai
歳,さい,sai,Tuổi
人,じん,jin,Người (nước ~)
会社,かいしゃ,kaisha,Công ty
会話,かいわ,kaiwa,"Nói chuyện, hội thoại, 
đàm thoại"
