Kanji,Kana,Romaji,Ý nghĩa
低い,ひくい,hikui,Thấp
高い,たかい,takai,"Cao, đắt"
安い,やすい,yasui,Rẻ (giá cả)
静か,しずか,shizuka,Yên tĩnh
賑やか,にぎやか,nigiyaka,"Náo nhiệt, đông đúc, sôi nổi"
難しい,むずかしい,muzukashii,Khó khăn
易しい,やさしい,yasashii,"Dễ dàng, đơn giản"
忙しい,いそがしい,isogashii,Bận rộn
暇,ひま,hima,Rảnh rỗi
上手,じょうず,jouzu,"Giỏi, làm tốt"
下手,へた,heta,"Kém, dốt"
新しい,あたらしい,atarashii,"Mới, hiện đại"
古い,ふるい,furui,"Cũ, lỗi thời"
いい,いい,ii,"Tốt, được"
悪い,わるい,warui,"Xấu, không tốt"
大きい,おおきい,ookii,"To, lớn"
小さい,ちいさい,chiisai,"Nhỏ, bé"
寒い,さむい,samui,Lạnh
暑い,あつい,atsui,"Nóng nực, oi bức"
素敵,すてき,suteki,"Đẹp đẽ, đáng yêu"
狭い,せまい,semai,Chật hẹp
面白い,おもしろい,omoshiroi,"Hài hước, thú vị"
親切,しんせつ,shinsetsu,"Tốt bụng, thân thiện"
有名,ゆうめい,yuumei,Nổi tiếng
美味しい,おいしい,oishii,"Ngon, tuyệt vời"
綺麗,きれい,kirei,"Đẹp, sạch sẽ"
元気,げんき,genki,Khỏe mạnh
地下鉄,ちかてつ,chikatetsu,Tàu điện ngầm
便利,べんり,benri,Tiện lợi
町,まち,machi,"Khu phố, thị trấn"
生活,せいかつ,seikatsu,"Cuộc sống, sinh hoạt"
多い,おおい,ooi,Nhiều
暗い,くらい,kurai,"Tối tăm, ảm đạm"
黒い,くろい,kuroi,Màu đen
ハンサム,ハンサム,hansamu,"Đẹp trai, bảnh trai"
楽しい,たのしい,tanoshii,"Vui vẻ, thích thú"
冷たい,つめたい,tsumetai,Lạnh buốt
寮,りょう,ryou,"Kí túc xá, nhà ở tập thể"
立派,りっぱ,rippa,"Tuyệt vời, rực rỡ"
苦い,にがい,nigai,Đắng
暖かい,あたたかい,atatakai,Ấm áp
