Kanji,Kana,Romaji,Ý nghĩa
前,まえ,mae,"Trước, phía trước, trước mắt"
後ろ,うしろ,ushiro,"Đằng sau, phía sau, sau"
右,みぎ,migi,Bên phải
左,ひだり,hidari,Bên trái
上,うえ,ue,"Trên, bên trên"
下,した,shita,"Dưới, phía dưới"
隣,となり,tonari,Bên cạnh
真中,まんなか,mannaka,"Giữa, trung tâm"
奥,おく,oku,Trong góc
前面,ぜんめん,zenmen,Mặt trước
東,ひがし,higashi,"Phía đông, hướng đông"
西,にし,nishi,Hướng tây(chỉ phương hướng)
南,みなみ,minami,"Hướng Nam, phía Nam"
中,なか,naka,Bên trong
間,あいだ,aida,Ở giữa
北,きた,kita,"Phía Bắc, hướng Bắc"
外,そと,soto,"Bên ngoài, phía ngoài"
裏,うら,ura,"Phía sau, đằng sau, mặt trái"
男,おとこ,otoko,Nam giới
女,おんな,onna,"Người phụ nữ, nữ giới"
猫,ねこ,neko,Con mèo
鳥,とり,tori,Con chim
桜,さくら,sakura,Hoa anh đào
棚,たな,tana,"Giá, kệ"
犬,いぬ,inu,Con chó
部屋,へや,heya,"Phòng, căn phòng"
スイッチ,スイッチ,suicchi,Công tắc
引き出し,ひきだし,hikidashi,Ngăn kéo
ケーキ,ケーキ,keeki,Bánh ngọt
箱,はこ,hako,Cái hộp
道,みち,michi,Con đường
冷蔵庫,れいぞうこ,reizouko,Tủ lạnh
チリソース,チリソース,chirisoosu,Tương ớt
郵便局,ゆうびんきょく,yuubinkyoku,Bưu điện
フィルム,フィルム,Firumu,"Phim, tấm film"
近く,ちかく,chikaku,"Gần, lân cận"
喫茶店,きっさてん,kissaten,Quán giải khát
牛乳,ぎゅうにゅう,gyuunyuu,Sữa bò
ベッド,ベッド,beddo,Giường
窓,まど,mado,Cửa sổ
電池,でんち,denchi,Pin
ポスト,ポスト,posuto,Hòm thư
ビル,ビル,biru,Tòa nhà
乗り場,のりば,noriba,"Bến xe, điểm lên (xuống) xe"
会議,かいぎ,kaigi,Cuộc họp
コンビニ,コンビニ,konbini,Cửa hàng tiện lợi
先輩,せんぱい,senpai,"Tiền bối, đàn anh"
後輩,こうはい,kouhai,"Đàn em, cấp dưới, người vào
(công ty, câu lạc bộ,...) sau"
ストーブ,ストーブ,sutoobu,"Lò sưởi, lò nướng"
