Kanji,Kana,Romaji,Ý nghĩa
馬,うま,uma,Con ngựa
お菓子,おかし,okashi,Bánh kẹo
航空券,こうくうけん,koukuuken,Vé máy bay
一緒に,いっしょに,isshoni,"Cùng, cùng với"
住所,じゅうしょ,juusho,Địa chỉ
もうすぐ,もうすぐ,mousugu,"Sắp, chẳng bao lâu"
着物,きもの,kimono,Kimono
愛する,あいする,aisuru,"Yêu, thương"
予約する,よやくする,yoyakusuru,"Đặt chỗ, đặt trước"
空港,くうこう,kuukou,Sân bay
思う,おもう,omou,"Nghĩ, suy nghĩ, ngẫm nghĩ"
気分,きぶん,kibun,"Cảm thấy, tâm trạng"
橋,はし,hashi,Cái cầu
寺,てら,tera,"Chùa chiền, chùa"
砂糖,さとう,satou,Đường (gia vị nấu ăn)
回す,まわす,mawasu,"Vặn (nắp, núm ...)"
うん,うん,un,"Dạ, vâng"
ううん,ううん,uun,Không
眠い,ねむい,nemui,Buồn ngủ
電話する,でんわする,denwasuru,Gọi điện thoại
要る,いる,iru,Cần thiết
修理する,しゅうりする,shuurisuru,"Sửa chữa, tu sửa"
皆で,みんなで,minnade,Mọi người cùng ～
この間,このあいだ,konoaida,"Gần đây, mới đây"
こっち,こっち,kocchi,"Phía này, chỗ này 
(cách nói thân mật của ここ)"
そっち,そっち,socchi,"Phía đó, chỗ đó ( cách nói 
thân mật của そこ)"
あっち,あっち,acchi,"Đằng kia, hướng kia (cách 
nói thân mật của あそこ)"
どっち,どっち,docchi,"Cái nào, phía nào (cách 
nói thân mật của どこ)"
