Kanji,Kana,Romaji,Ý nghĩa
肉,にく,niku,Thịt
会います,あいます,aimasu,Gặp gỡ
サッカー,サッカー,sakkaa,Bóng đá
テニス,テニス,tenisu,"Quần vợt, tennis"
試験,しけん,shiken,Kì thi
パーティー,パーティー,paatii,"Buổi tiệc, buổi liên hoan"
宿題,しゅくだい,shukudai,Bài tập về nhà
お花見,おはなみ,ohanami,Ngắm hoa anh đào
恋人,こいびと,koibito,Người yêu
買います,かいます,kaimasu,Mua sắm
果物,くだもの,kudamono,"Trái cây, hoa quả"
飲みます,のみます,nomimasu,Uống
吸います,すいます,suimasu,"Hút (thuốc lá, ...)"
ジュース,ジュース,juusu,Nước ép trái cây
読みます,よみます,yomimasu,Đọc
聞きます,ききます,kikimasu,Nghe
音楽,おんがく,ongaku,Âm nhạc
ビール,ビール,biiru,Bia
映画,えいが,eiga,Phim điện ảnh
材料,ざいりょう,zairyou,Nguyên liệu
好き,すき,suki,"Thích, yêu quý"
ビデオ,ビデオ,bideo,Video
レストラン,レストラン,resutoran,Nhà hàng
写真,しゃしん,shashin,"Ảnh, bức ảnh"
ラーメン,ラーメン,raamen,Mỳ ramen
庭,にわ,niwa,"Vườn, sân"
駅,えき,eki,Nhà ga
週末,しゅうまつ,shuumatsu,Cuối tuần
店,みせ,mise,"Cửa hàng, cửa hiệu"
手紙,てがみ,tegami,"Thư tín, thư từ"
レポート,レポート,repooto,Bản báo cáo
ドア,ドア,doa,Cửa ra vào
紅茶,こうちゃ,koucha,"Trà đen, hồng trà"
それから,それから,sorekara,"Sau đó, tiếp theo"
注文,ちゅうもん,chuumon,Sự gọi món
いつも,いつも,itsumo,"Luôn luôn, lúc nào cũng"
刺身,さしみ,sashimi,"Món sashimi, món cá sống 
của Nhật"
