Kanji,Kana,Romaji,Ý nghĩa
歯,は,ha,Răng
磨きます,みがきます,migakimasu,Đánh (răng)
昼食,ちゅうしょく,chuushoku,Bữa cơm trưa
皿,さら,sara,Cái đĩa
洗います,あらいます,araimasu,"Rửa (tay, mặt)"
残業,ざんぎょう,zangyou,Làm thêm giờ
ジョギング,ジョギング,jogingu,Sự chạy bộ
シャワー,シャワー,shawaa,Vòi hoa sen
浴びます,あびます,abimasu,Tắm
お風呂,おふろ,ofuro,Bồn tắm
市役所,しやくしょ,shiyakusho,Văn phòng hành chính
広い,ひろい,hiroi,Rộng
首都,しゅと,shuto,Thủ đô
不味い,まずい,mazui,"Dở, không ngon"
若い,わかい,wakai,"Trẻ, trẻ tuổi"
長い,ながい,nagai,"Dài (không gian, thời gian)"
短い,みじかい,mijikai,Ngắn
目,め,me,"Mắt, con mắt"
ボタン,ボタン,botan,"Cái nút, cúc áo"
押します,おします,oshimasu,"Ấn, giữ (nút)"
髪,かみ,kami,Tóc
消しゴム,けしゴム,keshigomu,"Cục gôm, cục tẩy"
醤油,しょうゆ,shouyu,"Xì dầu, nước tương"
出会います,であいます,deaimasu,Gặp gỡ
キャッシュカード,キャッシュカード,kyasshukaado,"Thẻ ngân hàng, thẻ ATM"
暗証,あんしょう,anshou,"Mật khẩu, mật mã"
曇り,くもり,kumori,Mây
歩道,ほどう,hodou,Đường cho người đi bộ
ワープロ,ワープロ,waapuro,Máy đánh chữ
待ちます,まちます,machimasu,"Chờ, đợi"
神社,じんじゃ,jinja,Đền thờ
薬,くすり,kusuri,Thuốc
換えます,かえます,kaemasu,"Đổi, thay đổi"
コート,コート,kooto,Áo khoác
保険証,ほけんしょう,hokenshou,Thẻ bảo hiểm
風邪,かぜ,kaze,"Cảm cúm, cảm"
失くします,なくします,nakushimasu,"Mất, đánh mất"
足,あし,ashi,"Chân, đôi chân"
入れます,いれます,iremasu,"Cho vào, lồng vào"
掃きます,はきます,hakimasu,Quét (nhà)
先ず,まず,mazu,"Trước hết, trước"
首,くび,kubi,"Cái cổ, cổ"
