Kanji,Kana,Romaji,Ý nghĩa
話します,はなします,hanashimasu,Nói chuyện
降ります,ふります,furimasu,"Rơi (mưa, tuyết)"
ゆっくり,ゆっくり,yukkuri,"Chậm, thong thả"
エアコン,エアコン,eakon,Máy điều hòa không khí
付けます,つけます,tsukemasu,"Dính vào, đính vào"
消します,けします,keshimasu,"Xóa, tẩy, tắt"
捨てます,すてます,sutemasu,"Vứt, bỏ"
風,かぜ,kaze,Gió
吹きます,ふきます,fukimasu,(Gió) Thổi
雷,かみなり,kaminari,"Sấm sét, tia sét"
落ちます,おちます,ochimasu,"Rơi, rụng (xuống)"
波,なみ,nami,Sóng
開けます,あけます,akemasu,"Mở (cửa, cửa sổ)"
重い,おもい,omoi,"Nặng, nặng nề"
持ちます,もちます,mochimasu,"Cầm, nắm, có (gì đó)"
塩,しお,shio,Muối
財布,さいふ,saifu,Cái ví
真っすぐ,まっすぐ,massugu,"Thẳng, đi thẳng"
又,また,mata,"Lại, lần nữa"
地図,ちず,chizu,Bản đồ
パスポート,パスポート,pasupooto,Hộ chiếu
釣り,つり,tsuri,Câu cá
閉めます,しめます,shimemasu,"Đóng (cửa, cửa sổ)"
軽い,かるい,karui,Nhẹ
体,からだ,karada,Cơ thể
上着,うわぎ,uwagi,Áo khoác
辞めます,やめます,yamemasu,"Bỏ, từ bỏ"
曲がります,まがります,magarimasu,"Rẽ, quẹo"
空きます,すきます,sukimasu,"Trống, trống rỗng"
丁度,ちょうど,choudo,"Vừa đúng, vừa chuẩn,Khá là"
信号,しんごう,shingou,"Đèn giao thông, đèn tín hiệu"
プリンター,プリンター,purintaa,Máy in
