Kanji,Kana,Romaji,Ý nghĩa
りんご,りんご,ringo,Quả táo
ペン,ペン,pen,Bút mực
雑誌,ざっし,zasshi,Tạp chí
鞄,かばん,kaban,"Cặp sách, túi xách"
鉛筆,えんぴつ,enpitsu,Bút chì
ボールペン,ボールペン,boorupen,Bút bi
テレホンカード,テレホンカード,terehonkaado,Thẻ điện thoại
ナイフ,ナイフ,naifu,Dao
車,くるま,kuruma,"Xe hơi, xe ô tô"
コンピューター,コンピューター,konpyuutaa,"Máy tính, máy vi tính"
ノート,ノート,nooto,Sổ ghi chép
シャープペンシル,シャープペンシル,shaapupenshiru,"Bút chì kim, bút chì bấm"
カメラ,カメラ,kamera,Máy ảnh
新聞,しんぶん,shinbun,Tờ báo
辞書,じしょ,jisho,Từ điển
時計,とけい,tokei,Đồng hồ
彼,かれ,kare,"Anh ấy, ông ấy"
彼女,かのじょ,kanojo,"Cô ấy, chị ấy"
手帳,てちょう,techou,Sổ tay
自動車,じどうしゃ,jidousha,"Xe ô tô, xe hơi (xe cơ giới)"
日本語,にほんご,nihongo,Tiếng Nhật
英語,えいご,eigo,Tiếng Anh
テープレコーダー,テープレコーダー,teepurekoodaa,Máy ghi âm
ラジオ,ラジオ,rajio,Radio
チョコレート,チョコレート,chokoreeto,Sô-cô-la
テレビ,テレビ,terebi,Tivi
テープ,テープ,teepu,Băng dính
これ,これ,kore,"Cái này, (ở gần người nói)"
それ,それ,sore,"Cái đó, đó (vật ở gần 
người nghe)"
あれ,あれ,are,"Cái kia, kia (vật ở xa 
người nói và người nghe)"
この,この,kono,~ này (ở gần người nói)
その,その,sono,~ đó (vật ở gần người nghe)
あの,あの,ano,"~ kia (chỉ cái ở xa cả người
nghe và người nói)"
名刺,めいし,meishi,Danh thiếp
椅子,いす,isu,Cái ghế
アニメ,アニメ,anime,Phim hoạt hình
クラス,クラス,kurasu,Lớp học
