Kanji,Kana,Romaji,Ý nghĩa
留学,りゅうがく,ryuugaku,"Việc du học, đi học ở nước ngoài"
お腹,おなか,onaka,Bụng
痛い,いたい,itai,"Đau, đau đớn"
天ぷら,てんぷら,tenpura,Tempura (món ăn tẩm bột chiên)
寂しい,さびしい,sabishii,"Cô đơn, buồn chán"
食事,しょくじ,shokuji,"Ăn, ăn cơm, bữa ăn"
コピー,コピー,kopii,"Sự sao chép, sự photo"
結婚します,けっこんします,kekkonshimasu,Kết hôn
プール,プール,puuru,Bể bơi
泳ぎます,およぎます,oyogimasu,Bơi
入ります,はいります,hairimasu,"Vào (phòng, nhà, quán ...)"
出ます,でます,demasu,"Ra, ra khỏi"
乗ります,のります,norimasu,"Lên, đi lên (xe, cầu thang)"
降ります,おります,orimasu,"Xuống (xe, cầu thang)"
海,うみ,umi,"Biển, biển cả"
喉,のど,nodo,Cổ họng
乾きます,かわきます,kawakimasu,"Khô, khát"
スキー,スキー,sukii,Trượt tuyết
経済,けいざい,keizai,Kinh tế
迎えます,むかえます,mukaemasu,Đón
遅い,おそい,osoi,"Chậm trễ, muộn"
欲しい,ほしい,hoshii,Muốn
見学します,けんがくします,kengakushimasu,Tham quan (học tập)
床屋,とこや,tokoya,Hiệu cắt tóc
お祈り,おいのり,oinori,"Cầu nguyện, lời cầu nguyện"
登録,とうろく,touroku,Sự đăng ký
遊びます,あそびます,asobimasu,Chơi
どこか,どこか,dokoka,Chỗ nào đó
出します,だします,dashimasu,"Gửi (thư), rút (tiền), 
nộp (bài tập)"
買い物します,かいものします,kaimonoshimasu,Mua sắm
近い,ちかい,chikai,"Gần, ở gần, sắp tới, 
không xa"
遠い,とおい,tooi,Xa (khoảng cách xa xôi)
