Kanji,Kana,Romaji,Ý nghĩa
雨,あめ,ame,Mưa
イベント,イベント,ibento,"Sự kiện, chương trình"
涼しい,すずしい,suzushii,Mát mẻ
雪,ゆき,yuki,Tuyết
ホテル,ホテル,hoteru,"Khách sạn, nhà nghỉ"
早い,はやい,hayai,Sớm
頭,あたま,atama,Cái đầu
春,はる,haru,Mùa xuân
秋,あき,aki,Mùa thu
冬,ふゆ,fuyu,Mùa đông
蜜柑,みかん,mikan,Quả quýt
飲み物,のみもの,nomimono,"Đồ uống, thức uống"
時間,じかん,jikan,Thời gian
季節,きせつ,kisetsu,Mùa
凄い,すごい,sugoi,"Xuất sắc, tuyệt vời"
世界,せかい,sekai,Thế giới
夏,なつ,natsu,Mùa hè
ちょっと,ちょっと,chotto,Một chút
お茶,おちゃ,ocha,"Trà, chè"
生け花,いけばな,ikebana,Ikebana (Nghệ thuật cắm hoa Nhật Bản)
初めて,はじめて,hajimete,Lần đầu tiên
