Kanji,Kana,Romaji,Ý nghĩa
書きます,かきます,kakimasu,"Viết, ghi chép"
絵,え,e,"Tranh, hình vẽ"
フォーク,フォーク,fooku,Dĩa
スプーン,スプーン,supuun,Cái thìa
パソコン,パソコン,pasokon,Máy tính xách tay
荷物,にもつ,nimotsu,"Đồ đạc, hành lý"
送ります,おくります,okurimasu,Gửi đi
切符,きっぷ,kippu,"Vé tàu, vé xe"
手,て,te,Tay
ファクス,ファクス,fakusu,Máy fax
あげます,あげます,agemasu,Tặng cho
もらいます,もらいます,moraimasu,Nhận được
貸します,かします,kashimasu,"Cho mượn, cho vay"
借ります,かります,karimasu,"Mượn, vay"
教えます,おしえます,oshiemasu,"Dạy, nói cho biết"
習います,ならいます,naraimasu,Học tập
クリスマス,クリスマス,kurisumasu,Lễ Giáng sinh
プレゼント,プレゼント,purezento,Quà tặng
掛けます,かけます,kakemasu,Gọi (điện thoại)
彼氏,かれし,kareshi,"Người yêu, bạn trai"
社長,しゃちょう,shachou,Giám đốc
メール,メール,meeru,"Mail, thư điện tử"
母,はは,haha,Mẹ
父,ちち,chichi,Bố
花,はな,hana,"Hoa, bông hoa"
お土産,おみやげ,omiyage,Quà lưu niệm
旅行,りょこう,ryokou,Du lịch
お母さん,おかあさん,okaasan,"Mẹ (dùng khi nói về mẹ của 
người khác và xưng hô với mẹ mình)"
シャツ,シャツ,shatsu,Áo sơ mi
お父さん,おとうさん,otousan,"Bố (dùng khi nói về bố của 
người khác và xưng hô với bố mình)"
これから,これから,korekara,"Từ giờ trở đi, từ bây giờ"
お祭り,おまつり,omatsuri,"Lễ hội, hội hè"
未だ,まだ,mada,"Vẫn, vẫn chưa"
もう,もう,mou,"Đã, rồi"
時々,ときどき,tokidoki,"Đôi lúc, thỉnh thoảng"
失礼します,しつれいします,shitsureishimasu,Xin thất lễ
